bike_name,full_price,club_price,bike_class
Norco Search XR S2 Gravel Bike Steller Blue,"3,299.00","1,976.00",road
Pedal Cavalier 2 HD Flat Bar Road Bike Marine Blue,699.00,499.00,road
Pedal Jet 2 Trapeze Flat Bar Road Bike Mint,429.00,298.00,road
Merida Speeder 200 Flat Bar Road Bike Red,"1,300.00","1,099.00",road
Norco Search XR S1 Gravel Bike Warm Grey,"3,999.00","2,748.00",road
Merida Silex 200 Gravel Bike Orange/Black,"1,699.00","1,553.00",road
Merida Scultura Rim 100 Road Bike Silk Titan/Green,"1,260.00",899.00,road
Merida Speeder 20 Flat Bar Road Bike Anthracite Black,799.00,648.00,road
Norco Search XR A1 Gravel Bike Orange/Grey,"2,799.00","2,339.00",road
Merida Scultura 300 Road Bike Matt Blue,"2,200.00","1,987.00",road
Norco Search XR A2 Gravel Bike Green/Green,"2,199.00","1,644.00",road
Merida Scultura Rim 400 Road Bike Metallic Black/Silver,"1,999.00","1,793.00",road
Merida Scultura 4000 Road Bike Metallic Black/Silver,"2,999.00","2,838.00",road
Merida Scultura Endurance 5000 Road Bike Matt Fog Green/Black,"3,600.00","3,499.00",road
Cube SL Road Flat Bar Road Bike Dark Red 'n' Red,"1,299.00","1,169.10",road
Merida Scultura Endurance 400 Road Bike Black/Silver,"2,500.00","2,246.00",road
Merida eSilex 400 Electric Gravel Bike Dark Silver/Black,"4,699.00","3,297.00",road
Cube Nuroad Pro Gravel Bike Inkgrey 'n' Black,"2,199.00","1,987.00",road
Merida Scultura 200 Road Bike Metallic Black/Silver,"1,599.00","1,392.00",road
BMC Teammachine SLR Seven Road Bike Black,"4,099.00","3,373.00",road
Merida eSilex+ 600 Electric Gravel Bike Orange/Black,"4,999.00","3,742.00",road
Merida eScultura 400 Electric Road Bike Race Red,"4,999.00","3,997.00",road
Pedal Raider 3 Gravel Bike Dark Grey,849.00,649.00,road
Merida eSpeeder 200 Electric Flat Bar Road Bike Steel Blue,"3,999.00","3,599.00",road
Merida Silex 400 Gravel Bike Glossy Black/Matt Black,"2,299.00","2,066.00",road
Cube Nuroad EX Gravel Bike Flashstone 'n' Orange,"2,799.00","2,446.00",road
Merida Big Seven 10 D Mountain Bike Anthracite Green/Silver,729.00,598.00,mountain
Pedal Colt 2 Hardtail Mountain Bike Blue,999.00,596.00,mountain
Pedal Titan 2 Electric Dual Suspension Mountain Bike Cosmic Black,"5,499.00","2,997.00",mountain
Cube Stereo ONE55 C:62 Race 29 Dual Suspension Mountain Bike Light Grey/Grey,"6,299.00","3,457.00",mountain
Cube Reaction Hybrid Pro 500 Electric Hardtail Mountain Bike Flash Grey 'n' Green,"5,299.00","3,699.00",mountain
"Norco Storm 5 27.5"" mountain Bike Silver/Black",799.00,668.00,mountain
Cube Stereo ONE44 C:62 Race Dual Suspension Mountain Bike Swamp Grey/Black,"6,999.00","3,997.00",mountain
Norco Torrent HT S2 Mountain Bike Green/Silver,"3,399.00","1,997.00",mountain
Merida One-Twenty RC 300 Dual Suspension Mountain Bike Teal-Blue/Lime,"2,399.00","1,499.00",mountain
Cube Reaction Hybrid Pro 500 Electric Hardtail Mountain Bike Flash White 'n' Black,"5,299.00","3,699.00",mountain
"Silverback Stride Comp Hardtail Mountain Bike 27.5"" Satin Metallic Grey","1,149.00",688.00,mountain
Cube Reaction Hybrid Race 625 Electric Hardtail Mountain Bike Grey 'n' Metal,"6,299.00","4,997.00",mountain
"VelectriX Ascent 29"" Electric Hardtail Mountain Bike Silver","2,799.00","1,649.00",mountain
"Atmos Gap 29"" Hardtail Mountain Bike Emerald Green",599.00,388.00,mountain
Merida One-Forty 400 Dual Suspension Mountain Bike Metallic Green/Black,"3,399.00","2,037.00",mountain
"Atmos Nerang 29"" Hardtail Mountain Bike Dark Silver",599.00,419.00,mountain
